Timestamp,Session ID,Building,Floor,Localization Time (s),Localization Success,Navigation Time (s),Navigation Success
2025-02-07 14:06:38,anbang,Langone,16_floor@dog,0.31,Success,0.01,Success
2025-02-07 14:06:40,anbang,Langone,16_floor@dog,0.31,Success,0.02,Success
2025-02-07 14:06:48,anbang,Langone,16_floor@dog,0.3,Success,0.02,Success
2025-02-07 14:06:51,anbang,Langone,16_floor@dog,0.32,Success,0.0,Success
2025-02-07 14:06:54,anbang,Langone,16_floor@dog,0.26,Success,0.0,Success
2025-02-07 14:06:56,anbang,Langone,16_floor@dog,0.27,Success,0.01,Success
2025-02-07 14:07:36,anbang,Langone,16_floor@dog,0.33,Success,0.01,Success
2025-02-07 14:07:49,anbang,Langone,16_floor@dog,0.29,Failed,,
2025-02-07 14:07:52,anbang,Langone,16_floor@dog,0.31,Failed,,
2025-02-07 14:07:54,anbang,Langone,16_floor@dog,0.29,Failed,,
2025-02-07 14:07:56,anbang,Langone,16_floor@dog,0.3,Success,0.0,Success
2025-02-07 14:07:59,anbang,Langone,16_floor@dog,0.29,Failed,,
2025-02-07 14:08:01,anbang,Langone,16_floor@dog,0.28,Failed,,
2025-02-07 14:08:03,anbang,Langone,16_floor@dog,0.3,Failed,,
2025-02-07 14:08:07,anbang,Langone,16_floor@dog,0.34,Success,0.01,Success
2025-02-07 14:08:11,anbang,Langone,16_floor@dog,0.28,Failed,,
2025-02-07 14:08:14,anbang,Langone,16_floor@dog,0.3,Failed,,
2025-02-07 14:08:16,anbang,Langone,16_floor@dog,0.32,Success,0.0,Success
2025-02-07 14:08:18,anbang,Langone,16_floor@dog,0.29,Failed,,
2025-02-07 14:08:21,anbang,Langone,16_floor@dog,0.31,Success,0.01,Success
2025-02-07 14:08:34,anbang,Langone,16_floor@dog,0.29,Failed,,
2025-02-07 14:08:37,anbang,Langone,16_floor@dog,0.32,Success,0.01,Success
2025-02-07 14:18:09,anbang,N/A,N/A,16.53,Failed,,
2025-02-07 14:18:27,anbang,N/A,N/A,0.81,Failed,,
2025-02-07 14:18:30,anbang,N/A,N/A,0.83,Failed,,
2025-02-07 14:18:32,anbang,Langone,16_floor@dog,1.05,Success,0.0,Success
2025-02-07 14:18:41,anbang,Langone,16_floor@dog,0.45,Success,0.0,Success
2025-02-07 14:18:44,anbang,Langone,16_floor@dog,0.35,Success,0.0,Success
2025-02-07 14:18:47,anbang,Langone,16_floor@dog,0.36,Success,0.0,Success
2025-02-07 14:18:58,anbang,Langone,16_floor@dog,0.29,Success,0.0,Success
2025-02-07 14:19:03,anbang,Langone,16_floor@dog,0.29,Success,0.0,Success
2025-02-07 14:19:07,anbang,Langone,16_floor@dog,0.3,Success,0.01,Success
2025-02-07 14:22:13,anbang,Langone,16_floor@dog,16.44,Success,0.02,Success
2025-02-07 14:42:13,anbang,Langone,16_floor@dog,0.31,Failed,,
2025-02-07 15:05:26,anbang,LightHouse,6_floor,65.92,Success,0.0,Success
2025-02-07 15:05:45,anbang,LightHouse,6_floor,1.34,Success,0.0,Success
2025-02-07 15:05:54,anbang,LightHouse,6_floor,1.67,Success,0.06,Success
2025-02-07 15:06:25,anbang,LightHouse,6_floor,1.82,Success,0.02,Success
2025-02-07 15:06:31,anbang,LightHouse,6_floor,0.71,Success,0.01,Success
2025-02-07 15:06:51,anbang,LightHouse,6_floor,0.49,Success,0.05,Success
2025-02-07 15:07:00,anbang,LightHouse,6_floor,0.69,Failed,,
2025-02-07 15:07:11,anbang,LightHouse,6_floor,0.5,Success,0.05,Success
2025-02-07 15:07:32,anbang,LightHouse,6_floor,2.55,Success,0.02,Success
2025-02-07 15:07:52,anbang,LightHouse,6_floor,2.23,Success,0.01,Success
2025-02-07 15:08:04,anbang,LightHouse,6_floor,0.53,Success,0.09,Success
2025-02-07 15:09:01,anbang,LightHouse,6_floor,0.56,Success,0.06,Success
2025-02-07 17:23:04,Vinay19,Langone,15_floor@dog,29.83,Success,0.03,Success
2025-02-07 17:23:22,Vinay19,Langone,15_floor@dog,0.42,Success,0.03,Success
2025-02-07 17:23:33,Vinay19,Langone,15_floor@dog,0.46,Success,0.02,Success
2025-02-07 17:23:39,Vinay19,Langone,15_floor@dog,0.35,Success,0.03,Success
2025-02-07 17:24:28,Vinay19,Langone,15_floor@dog,0.38,Success,0.03,Success
2025-02-07 17:24:39,Vinay19,Langone,15_floor@dog,0.44,Failed,,
2025-02-07 17:24:42,Vinay19,Langone,15_floor@dog,0.43,Failed,,
2025-02-07 17:24:45,Vinay19,Langone,15_floor@dog,0.48,Failed,,
2025-02-07 17:24:50,Vinay19,Langone,15_floor@dog,0.42,Failed,,
2025-02-07 17:24:56,Vinay19,Langone,15_floor@dog,0.46,Failed,,
2025-02-07 17:24:59,Vinay19,Langone,15_floor@dog,0.46,Success,0.04,Success
2025-02-07 17:25:05,Vinay19,Langone,15_floor@dog,0.49,Success,0.03,Success
2025-02-07 17:25:09,Vinay19,Langone,15_floor@dog,0.43,Failed,,
2025-02-07 17:25:31,Vinay19,Langone,15_floor@dog,0.5,Success,0.0,Success
2025-02-07 17:25:36,Vinay19,Langone,15_floor@dog,0.43,Success,0.05,Success
2025-02-07 17:25:42,Vinay19,Langone,15_floor@dog,0.44,Success,0.04,Success
2025-02-07 17:25:49,Vinay19,Langone,15_floor@dog,0.45,Success,0.04,Success
2025-02-07 17:26:09,Vinay19,Langone,15_floor@dog,0.34,Failed,,
2025-02-07 17:26:22,Vinay19,Langone,15_floor@dog,0.45,Success,0.05,Success
2025-02-07 17:26:34,Vinay19,Langone,15_floor@dog,0.42,Success,0.0,Success
2025-02-07 17:26:40,Vinay19,Langone,15_floor@dog,0.45,Success,0.05,Success
2025-02-07 17:26:44,Vinay19,Langone,15_floor@dog,0.46,Success,0.04,Success
2025-02-07 17:26:58,Vinay19,Langone,15_floor@dog,0.49,Success,0.03,Success
2025-02-07 17:27:16,Vinay19,Langone,15_floor@dog,0.41,Success,0.03,Success
2025-02-07 17:27:28,Vinay19,Langone,15_floor@dog,0.3,Failed,,
2025-02-07 17:28:02,Vinay19,Langone,15_floor@dog,0.41,Failed,,
2025-02-07 17:28:05,Vinay19,Langone,15_floor@dog,0.4,Success,0.03,Success
2025-02-07 17:28:30,Vinay19,Langone,15_floor@dog,0.54,Success,0.0,Success
2025-02-07 17:28:34,Vinay19,Langone,15_floor@dog,0.52,Success,0.0,Success
2025-02-07 17:28:38,Vinay19,Langone,15_floor@dog,0.52,Success,0.02,Success
2025-02-07 17:28:47,Vinay19,Langone,15_floor@dog,0.55,Success,0.02,Success
2025-02-07 17:28:50,Vinay19,Langone,15_floor@dog,0.52,Success,0.02,Success
2025-02-07 17:31:38,Vinay19,Langone,16_floor@dog,16.93,Success,0.0,Success
2025-02-07 17:32:23,Vinay19,Langone,16_floor@dog,0.54,Success,0.0,Success
2025-02-07 17:32:37,Vinay19,Langone,16_floor@dog,0.48,Success,0.02,Success
2025-02-07 17:32:43,Vinay19,Langone,16_floor@dog,0.5,Success,0.0,Success
2025-02-07 17:33:07,Vinay19,Langone,16_floor@dog,0.47,Success,0.0,Success
2025-02-07 17:33:13,Vinay19,Langone,16_floor@dog,0.49,Success,0.01,Success
2025-02-07 17:33:42,Vinay19,Langone,16_floor@dog,0.46,Success,0.0,Success
2025-02-07 17:33:52,Vinay19,Langone,16_floor@dog,0.48,Success,0.01,Success
2025-02-07 17:33:58,Vinay19,Langone,16_floor@dog,0.49,Success,0.01,Success
2025-02-07 17:34:41,Vinay19,Langone,16_floor@dog,0.52,Success,0.0,Success
2025-02-07 17:35:03,Vinay19,Langone,16_floor@dog,0.53,Success,0.01,Success
